question,ground_truth,source_id,answer,contexts
大夫说我这属于外伤性脑出血导致的偏瘫，我是职工医保，这能申请门诊慢性病报销吗？,不包含（外伤性脑出血除外）。,chunk_20," 
","哈尔滨城镇职工医保门诊慢性病待遇。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**报销比例**：统筹基金支付比例为 90%。
**支付限额**：每季度统筹金最高支付限额 800元，一年内统筹金最高支付限额 3200元。
(Score: 0.660641894233866, ChunkID: chunk_20)

哈尔滨城乡居民门诊慢性病待遇（病种与基础标准）。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**统筹基金支付比例**：70%。
**支付限额**：每人每季度统筹基金最高支付限额 400元，一个年度内统筹基金最高支付限额 1600元。
(Score: 0.6212662475232829, ChunkID: chunk_45)

哈尔滨城镇职工医保门诊慢性病管理规则。
1. **就医原则**：门诊慢性病患者需在定点医疗机构或定点零售药店发生的政策范围内医疗费用纳入统筹基金支付范围。
2. **结算规则**：不设起付标准（0门槛费），不累计、不滚存、不结转。统筹基金支付实行季度限额管理。
3. **多病种待遇**：同时患有两种或以上规定慢性病病种的，每人每季度统筹基金支付限额增加 200元（即季度限额变为1000元，年度4000元）。
4. **额度归属**：门诊慢性病费用统一计入医疗保险年度最高支付限额内。
(Score: 0.6187752236408268, ChunkID: chunk_21)

哈尔滨医保**黑龙江省内**异地就医可以直接结算的门诊慢特病病种名单。
1. **门诊慢性病**：除跨省病种外，还包括风湿性心脏病（心功能不全3级以上）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、冠心病（心功能不全3级以上）、脑血管病后遗症、肝硬化失代偿期、慢性肾功能不全（III期以上）、类风湿性关节炎（功能3级以上）、房颤、慢性阻塞性肺疾病、癫痫、帕金森病、支气管哮喘、重症肌无力、布鲁氏病、慢性病毒性肝炎。
2. **门诊特殊疾病**：再生障碍性贫血、系统性红斑狼疮、严重精神障碍、活动性结核。
(Score: 0.6077833791036664, ChunkID: chunk_65)"
我是单位上班的，得了重症肌无力，想办门诊慢性病，这病在不在医保报销范围内？,在（包括重症肌无力）。,chunk_20," 
answer: 在。重症肌无力属于哈尔滨城镇职工医保门诊慢性病病种，统筹基金支付比例为 90%，每季度最高支付限额 800 元。","哈尔滨城镇职工医保门诊慢性病待遇。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**报销比例**：统筹基金支付比例为 90%。
**支付限额**：每季度统筹金最高支付限额 800元，一年内统筹金最高支付限额 3200元。
(Score: 0.6719203954077191, ChunkID: chunk_20)

哈尔滨城乡居民门诊慢性病待遇（病种与基础标准）。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**统筹基金支付比例**：70%。
**支付限额**：每人每季度统筹基金最高支付限额 400元，一个年度内统筹基金最高支付限额 1600元。
(Score: 0.6332584025366232, ChunkID: chunk_45)

哈尔滨城镇职工医保门诊慢性病管理规则。
1. **就医原则**：门诊慢性病患者需在定点医疗机构或定点零售药店发生的政策范围内医疗费用纳入统筹基金支付范围。
2. **结算规则**：不设起付标准（0门槛费），不累计、不滚存、不结转。统筹基金支付实行季度限额管理。
3. **多病种待遇**：同时患有两种或以上规定慢性病病种的，每人每季度统筹基金支付限额增加 200元（即季度限额变为1000元，年度4000元）。
4. **额度归属**：门诊慢性病费用统一计入医疗保险年度最高支付限额内。
(Score: 0.6287804900833159, ChunkID: chunk_21)

哈尔滨医保**黑龙江省内**异地就医可以直接结算的门诊慢特病病种名单。
1. **门诊慢性病**：除跨省病种外，还包括风湿性心脏病（心功能不全3级以上）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、冠心病（心功能不全3级以上）、脑血管病后遗症、肝硬化失代偿期、慢性肾功能不全（III期以上）、类风湿性关节炎（功能3级以上）、房颤、慢性阻塞性肺疾病、癫痫、帕金森病、支气管哮喘、重症肌无力、布鲁氏病、慢性病毒性肝炎。
2. **门诊特殊疾病**：再生障碍性贫血、系统性红斑狼疮、严重精神障碍、活动性结核。
(Score: 0.6278334658497966, ChunkID: chunk_65)"
职工门诊慢性病报销比例挺高的吧？我听说是90%？,统筹基金支付比例为90%。,chunk_20," 
回答: 是的。哈市城镇职工门诊慢性病（如高血压、糖尿病等）统筹基金支付比例均为 90%。","哈尔滨城镇职工医保门诊慢性病待遇。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**报销比例**：统筹基金支付比例为 90%。
**支付限额**：每季度统筹金最高支付限额 800元，一年内统筹金最高支付限额 3200元。
(Score: 0.6479448566598056, ChunkID: chunk_20)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**恶性肿瘤**。**统筹基金支付项目包括**：放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。
(Score: 0.6466577525360008, ChunkID: chunk_11)

哈尔滨城镇职工门诊特殊疾病待遇，病种包括**血友病、再生障碍性贫血、系统性红斑狼疮**。**统筹基金支付项目**：按病种对应的常规治疗项目执行（未单独列出具体项目）。**报销比例**：在职人员支付 90%，退休人员支付 93%。
(Score: 0.6453047692325355, ChunkID: chunk_16)

哈尔滨城镇职工门诊特殊疾病待遇，各病种对应的**统筹基金支付项目**及待遇如下：
1. **重性精神病药物维持治疗**：在职人员支付 90%，退休人员支付 90%（注意：退休不执行93%标准）。
2. **肺结核药物维持治疗**：在职人员支付 95%，退休人员支付 98%。
3. **特殊药品（靶向用药）**：在职人员支付 90%，退休人员支付 93%。
(Score: 0.643330473356266, ChunkID: chunk_18)"
我是职工医保慢性病患者，每个季度医保统筹最多能给我报多少钱？是800块吗？,每季度统筹金最高支付限额800元。,chunk_20," 
回答: 是的。如果是普通门诊慢性病（非器官移植），每季度统筹金最高支付限额为 800 元。如果同时患有两种及以上病种，则限额提升至 1000 元。","一、最高支付限额
参保职工一个年度内发生符合职工医保统筹
基金支付范围（以下称“统筹基金支付范围”）
的医疗费用，医保统筹基金（以下称“统筹基金”）
最高支付限额为50万元。
(Score: 0.7200734546462075, ChunkID: chunk_one)

哈尔滨城镇职工医保门诊慢性病待遇。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**报销比例**：统筹基金支付比例为 90%。
**支付限额**：每季度统筹金最高支付限额 800元，一年内统筹金最高支付限额 3200元。
(Score: 0.6886547218358529, ChunkID: chunk_20)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。
(Score: 0.6781663590277621, ChunkID: chunk_15)

哈尔滨城镇职工医保门诊慢性病管理规则。
1. **就医原则**：门诊慢性病患者需在定点医疗机构或定点零售药店发生的政策范围内医疗费用纳入统筹基金支付范围。
2. **结算规则**：不设起付标准（0门槛费），不累计、不滚存、不结转。统筹基金支付实行季度限额管理。
3. **多病种待遇**：同时患有两种或以上规定慢性病病种的，每人每季度统筹基金支付限额增加 200元（即季度限额变为1000元，年度4000元）。
4. **额度归属**：门诊慢性病费用统一计入医疗保险年度最高支付限额内。
(Score: 0.6778944094899833, ChunkID: chunk_21)"
家里老人是职工医保，有III期以上的慢性肾功能不全，这属于慢病报销范围吗？,属于（慢性肾功能不全III期以上）。,chunk_20," 
回答: 属于。III期以上（含）的‘慢性肾功能不全’属于哈尔滨城镇职工门诊慢性病病种，统筹基金支付比例为 90%，每季度限额 800 元。","哈尔滨城镇职工医保门诊慢性病待遇。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**报销比例**：统筹基金支付比例为 90%。
**支付限额**：每季度统筹金最高支付限额 800元，一年内统筹金最高支付限额 3200元。
(Score: 0.6153908667750753, ChunkID: chunk_20)

哈尔滨城乡居民门诊慢性病待遇（病种与基础标准）。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**统筹基金支付比例**：70%。
**支付限额**：每人每季度统筹基金最高支付限额 400元，一个年度内统筹基金最高支付限额 1600元。
(Score: 0.5868375860440627, ChunkID: chunk_45)

哈尔滨城镇职工医保门诊慢性病管理规则。
1. **就医原则**：门诊慢性病患者需在定点医疗机构或定点零售药店发生的政策范围内医疗费用纳入统筹基金支付范围。
2. **结算规则**：不设起付标准（0门槛费），不累计、不滚存、不结转。统筹基金支付实行季度限额管理。
3. **多病种待遇**：同时患有两种或以上规定慢性病病种的，每人每季度统筹基金支付限额增加 200元（即季度限额变为1000元，年度4000元）。
4. **额度归属**：门诊慢性病费用统一计入医疗保险年度最高支付限额内。
(Score: 0.5709049789501539, ChunkID: chunk_21)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。
**统筹基金支付项目包括**：
1. **透析门诊用药**：在职人员报销 90%，退休人员报销 93%。
2. **腹膜透析组套**：定额标准为每人每日 160元，统筹基金支付 95%（即支付152元/日）。
(Score: 0.5679184559379745, ChunkID: chunk_14)"
我办了职工门诊慢性病，去买药的时候有门槛费吗？还是直接就能报？,不设起付标准（0门槛费）。,chunk_21," 
回答: 没有门槛费。哈尔滨城镇职工门诊慢性病不设起付标准，符合规定的药品费用直接按比例报销。","哈尔滨城镇职工医保门诊慢性病管理规则。
1. **就医原则**：门诊慢性病患者需在定点医疗机构或定点零售药店发生的政策范围内医疗费用纳入统筹基金支付范围。
2. **结算规则**：不设起付标准（0门槛费），不累计、不滚存、不结转。统筹基金支付实行季度限额管理。
3. **多病种待遇**：同时患有两种或以上规定慢性病病种的，每人每季度统筹基金支付限额增加 200元（即季度限额变为1000元，年度4000元）。
4. **额度归属**：门诊慢性病费用统一计入医疗保险年度最高支付限额内。
(Score: 0.6816232443972039, ChunkID: chunk_21)

哈尔滨城乡居民门诊慢性病管理规则。
1. **就医原则**：门诊慢性病患者在定点医疗机构或定点零售药店发生的政策范围内医疗费用纳入统筹基金支付范围。
2. **结算规则**：统筹基金支付实行季度限额管理，不设起付标准（0门槛费），不累计、不滚存、不结转，统一计入医疗保险年度最高支付限额内。
3. **多病种待遇**：同时患有两种或以上规定慢性病病种的，每人每季度统筹基金支付限额增加 100元（即季度限额 500元，年度 2000元）。
(Score: 0.6627977267188099, ChunkID: chunk_46)

哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.646615683845922, ChunkID: chunk_23)

哈尔滨城乡居民“两病”门诊待遇（高血压、糖尿病专项保障）。
**适用对象**：未达到门诊慢性病鉴定标准的“两病”参保居民。
**待遇标准**：
1. **起付标准**：不设起付标准（0门槛费）。
2. **支付比例**：二级定点医疗机构 70%，二级以下定点基层医疗机构 80%。
3. **支付限额**：高血压患者降血压用药年度统筹基金最高支付限额 400元；糖尿病患者降血糖用药年度统筹基金最高支付限额 600元。
(Score: 0.6458225796007786, ChunkID: chunk_50)"
我有高血压和糖尿病两种慢病，都是职工医保认定的，那我每季度的报销额度能多一点吗？,每人每季度统筹基金支付限额增加200元（即1000元）。,chunk_21," 
通常不能。哈尔滨职工医保门诊慢特病实行‘分病种限额’管理。高血压、糖尿病虽均是认定病种，但各自按季度分别享受对应病种的 800 元限额（合计 1600 元/年），而不是合并计算。如果病情复杂需同时使用两种病种的特病药，建议咨询医生开具两种病种的处方以分别享受额度。","哈尔滨城乡居民“两病”门诊待遇（高血压、糖尿病专项保障）。
**适用对象**：未达到门诊慢性病鉴定标准的“两病”参保居民。
**待遇标准**：
1. **起付标准**：不设起付标准（0门槛费）。
2. **支付比例**：二级定点医疗机构 70%，二级以下定点基层医疗机构 80%。
3. **支付限额**：高血压患者降血压用药年度统筹基金最高支付限额 400元；糖尿病患者降血糖用药年度统筹基金最高支付限额 600元。
(Score: 0.6760077580279218, ChunkID: chunk_50)

哈尔滨城镇职工医保门诊慢性病待遇。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**报销比例**：统筹基金支付比例为 90%。
**支付限额**：每季度统筹金最高支付限额 800元，一年内统筹金最高支付限额 3200元。
(Score: 0.6492533209446957, ChunkID: chunk_20)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**糖尿病胰岛素治疗**。**统筹基金支付项目**：胰岛素治疗相关费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。**特殊限制**：统筹基金年度最多支付不超过 2400元。
(Score: 0.6426067769125299, ChunkID: chunk_17)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。
(Score: 0.6400878038708486, ChunkID: chunk_15)"
职工慢病的额度如果这个季度没用完，能攒到下个季度接着用吗？,不累计、不滚存、不结转。,chunk_21," 
不能。门诊慢性病费用执行‘季度限额’管理，不累计、不滚存、不结转。每个季度初额度清零，必须在当季内使用。","哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。
(Score: 0.5766014012860757, ChunkID: chunk_15)

哈尔滨职工医保个人账户异地使用规则（免备案）。
**政策内容**：自 2023年 1月 1日起，职工个人账户实行异地免备案政策。即在异地国家联网定点医疗机构或定点零售药店均可直接使用个人账户（无需办理任何备案手续）。
(Score: 0.5734887230824216, ChunkID: chunk_58)

哈尔滨城镇职工医保门诊慢性病管理规则。
1. **就医原则**：门诊慢性病患者需在定点医疗机构或定点零售药店发生的政策范围内医疗费用纳入统筹基金支付范围。
2. **结算规则**：不设起付标准（0门槛费），不累计、不滚存、不结转。统筹基金支付实行季度限额管理。
3. **多病种待遇**：同时患有两种或以上规定慢性病病种的，每人每季度统筹基金支付限额增加 200元（即季度限额变为1000元，年度4000元）。
4. **额度归属**：门诊慢性病费用统一计入医疗保险年度最高支付限额内。
(Score: 0.5681755878874846, ChunkID: chunk_21)

哈尔滨城乡居民门诊慢性病管理规则。
1. **就医原则**：门诊慢性病患者在定点医疗机构或定点零售药店发生的政策范围内医疗费用纳入统筹基金支付范围。
2. **结算规则**：统筹基金支付实行季度限额管理，不设起付标准（0门槛费），不累计、不滚存、不结转，统一计入医疗保险年度最高支付限额内。
3. **多病种待遇**：同时患有两种或以上规定慢性病病种的，每人每季度统筹基金支付限额增加 100元（即季度限额 500元，年度 2000元）。
(Score: 0.5665292239911941, ChunkID: chunk_46)"
我是公司在职员工，按9.5%交的医保，去哈医大一院（三级医院）看普通门诊，能报销多少？,50%。,chunk_22," 
起付线 400 元，报销 50%。在职人员在哈医大一院（三级医院）门诊统筹基金支付 50%。","哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 9.5% 缴费的参保人员（在职）。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 50%。
2. 二级定点医院：统筹基金支付 60%。
3. 一级及以下定点医院：统筹基金支付 70%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.7296104618048603, ChunkID: chunk_22)

哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.7238112934755794, ChunkID: chunk_23)

哈尔滨城镇职工医保住院待遇，就医类型为哈市三级定点医院。**起付标准（门槛费）**为 720元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.7216283553552318, ChunkID: chunk_1)

哈尔滨城镇职工医保住院待遇，就医类型为哈市一级定点医院，起付标准 240元；无等级医院，起付标准 200元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.7143241473253737, ChunkID: chunk_3)"
我是个在职的小职员，去社区医院（一级）看感冒，听说报销比例高，具体是多少？,70%。,chunk_22," 
回答: 在职人员在哈市一级定点医院普通门诊，统筹基金支付比例为 75%。背景资料未提及 6.5% 低费率退休人员的具体比例，通常按普通在职执行。","哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 0.6585549178359298, ChunkID: chunk_5)

哈尔滨城镇职工医保住院待遇，就医类别为异地急诊或自由转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 80%，退休人员支付 83%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.6398174245632231, ChunkID: chunk_7)

哈尔滨城镇职工医保住院待遇，就医类别为异地转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 85%，退休人员支付 88%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.6373668377559932, ChunkID: chunk_6)

哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.63621940304834, ChunkID: chunk_23)"
